TF pair	Coregulation coefficient	#genes shared	List of genes shared
SWI5:TOS8	1.6077	18	BUD9:COS1:CTS1:DLD1:HBT1:HO:NIS1:PCL2:TGS1:TPM1:YAR009C:YDL173W:YDR543C:YJL225C:YML131W:YPL158C:YRF11:YRF17
CBF1:ARG80	1.60842	4	BUD27:CPA1:EPL1:YOR302W
MET28:YAP7	1.60978	2	IZH3:MET16
YAP6:HAP1	1.61007	16	BSC3:ERG1:ERG26:FRE4:MSR1:ROX1:YDR543C:YDR544C:YGR176W:YLR463C:YNL337W:YNL338W:YPR063C:YRF11:YRF15:YRF16
MBP1:DAT1	1.61039	3	ERG26:YDR084C:YJR011C
RCS1:BAS1	1.61179	11	ADE2:AFG2:CTF19:GCV2:HSC82:MRPS17:RPL22A:VIK1:VTC3:YDR084C:YPL251W
LEU3:INO4	1.6159	2	RNH202:YDR278C
THI2:YAP7	1.61597	5	ARG3:MAK32:OYE2:RML2:YCR018CA
HSF1:YAP3	1.61603	2	MRT4:UFD4
ARG81:INO4	1.61969	1	PHO5
CAT8:FKH2	1.62048	1	ACS1
STP1:SKN7	1.62127	10	ARG1:GLY1:IES6:LYS20:MAK32:MDH2:STB4:YCR018CA:YEL045C:YOL125W
HMLALPHA2:YHP1	1.62153	1	STE6
SUT1:MSN2	1.62153	7	ATR1:CWP1:GAT2:GID8:MGA1:MSN4:YOL159C
RTG3:PHO4	1.62232	7	AFG2:CWC21:KRE2:PDR8:YCR095C:YER129W:YLR267W
SKN7:YJL206C	1.62279	5	GLY1:IES6:YEL045C:YNR018W:YPR013C
MAL33:YAP1	1.62531	3	MRPL4:YFR017C:ZWF1
HMLALPHA2:PHD1	1.6276	1	STE12
YHP1:GZF3	1.62802	5	HMRA2:RNH202:YLL065W:YNL338W:YRF16
THI2:NRG1	1.62857	6	ERG26:MAK32:SNO3:SNZ3:SPO20:YCR018CA
HMLALPHA1:YAP6	1.62999	1	SGA1
YAP1:AFT2	1.63107	12	MMT1:MRPL4:MRS4:NMA2:PAU4:SEC9:SOD2:YER078C:YER079W:YFR017C:YGR011W:ZWF1
HAC1:YAP7	1.63305	2	MAK32:YCR018CA
HMRA1:UME6	1.63478	1	RME1
YHP1:YAP5	1.63501	18	IPL1:PEP5:SSA3:TKL1:VMA13:XDJ1:YAR009C:YDR161W:YER139C:YER140W:YLL065W:YLL066C:YLL067C:YLR035CA:YLR089C:YNL338W:YPL208W:YRF16
PHO2:GCN4	1.63699	12	ADE3:ADE4:HIS4:HIS7:IDH1:LAP4:MCH4:NCE103:TEA1:TRP4:VPS60:YLR152C
THI2:TYE7	1.6371	3	ECM15:ERG26:FCY22
SUM1:HAP4	1.6373	5	BNA2:MIR1:SPR3:YJR079W:YRF11
GTS1:RLM1	1.63934	1	YER138C
INO4:CIN5	1.63934	6	FAA1:FAS1:HXT3:KEL2:YOR316CA:YPR013C
RLM1:ARR1	1.63934	1	YDR210WD
DAL81:SWI6	1.63988	12	BAT2:CCW12:CWP2:GAT2:GID8:HOG1:MNN1:TYE7:UTH1:YKL097C:YKR040C:YOR315W
CHA4:STB4	1.64176	1	VAS1
YDR520C:FHL1	1.64176	1	APE3
SIP4:ASH1	1.64203	1	PCK1
HAP1:YAP7	1.64303	14	ADO1:AHP1:COX15:ERG11:GSH1:LSB6:QCR6:SKM1:SOD1:SOD2:UBX6:YHB1:YLR108C:YOL114C
PUT3:ARG80	1.64338	2	CPA1:YOR302W
THI2:CUP9	1.64365	1	PTR2
CYC8:SOK2	1.64406	2	FLO9:IME1
RTG3:YOX1	1.6444	21	CRM1:DOM34:ENA1:GDH3:HMRA2:MAK32:MRPL24:PLC1:RLP7:RML2:RSM10:SED1:UPF3:YCR018CA:YCR095C:YDR042C:YDR084C:YFR017C:YGR071C:YJR011C:YKL071W
GLN3:CST6	1.64527	2	YER189W:YRF12
HSF1:MSN1	1.6469	1	HSP12
MIG2:RLM1	1.64771	2	HXT15:HXT16
DAL81:HMS1	1.64798	1	YDR042C
THI2:PHO2	1.64943	3	ERG26:PHO5:YJR011C
PHO4:CUP9	1.64962	2	APT2:YDR442W
RDS1:IXR1	1.65234	1	YDR084C
YFL044C:PHO4	1.65371	1	UBX3
FKH2:RLM1	1.65457	7	AMN1:ASE1:CIS3:EXG1:SED1:SPS4:YOR315W
MET32:HMS2	1.65467	2	BUB1:TCB3
SIP4:HAL9	1.65508	1	YMR258C
FKH1:INO4	1.65514	4	CDC20:CDS1:SWI5:YBR030W
FKH1:ACE2	1.65576	10	BUD9:CUE4:DSE1:DSE2:RSP5:SCW11:SPB1:TSL1:YML100WA:YML102CA
SUM1:STB5	1.65741	2	SCS7:SSP1
CBF1:STB4	1.65787	5	PCS60:YBR224W:YBR225W:YLL055W:YLL056C
TEC1:PHD1	1.65967	7	GAT2:GIC2:GID8:GPA1:PCL1:STE12:UTR2
YAP3:FKH1	1.66044	2	MFA2:YNL146CA
GTS1:SFP1	1.66168	1	YDR282C
CAD1:SPT23	1.66195	1	HIR1
RME1:CUP9	1.66251	1	RPL7B
HCM1:PLM2	1.6631	27	AIR2:BPL1:CHO2:COS3:CRD1:DBP2:DHH1:ESP1:MCM16:MSS2:PCM1:PEP5:RIM4:STE7:SWH1:VMA13:XDJ1:YAR009C:YCS4:YDR286C:YDR287W:YLL067C:YLR035CA:YLR089C:YML133C:YPR045C:YPR109W
THI2:YAP6	1.66315	6	ERG26:MAK32:OYE2:SPO20:YCR018CA:YJR011C
MAC1:PIP2	1.66458	2	CTA1:RPA34
UGA3:ADR1	1.66514	2	YDR084C:YDR210WD
TOS4:MET31	1.66638	5	MET6:ORC3:SPO75:STR3:YDR042C
STP2:DAL81	1.66666	1	BAP2
SUM1:ARR1	1.66777	1	SRL2
RPN4:SFP1	1.66972	6	CTH1:GIR2:GPX1:HSC82:RPL23A:YKL161C
YDR026C:YAP7	1.6707	2	DTR1:FZO1
RPN4:GAT3	1.67084	5	IWR1:YDL114W:YNL337W:YNL338W:YRF16
PDC2:CIN5	1.67252	1	YDR042C
SWI6:ROX1	1.67271	16	EGD2:GAT2:GID8:HCM1:MDM31:PET54:SOK2:SPO20:SPS4:TOS2:UTR2:YBL029CA:YBL029W:YCR064C:YIL056W:YOR315W
SWI5:LEU3	1.67284	6	COS1:DFR1:YER188CA:YER189W:YLR162WA:YRF12
GAT3:YOX1	1.67325	11	COS3:COS8:YDR544C:YHL049C:YML133C:YNL337W:YNL338W:YRF11:YRF13:YRF16:YRF17
FZF1:LEU3	1.67336	1	YGR271CA
THI2:YAP1	1.67476	4	MAK32:OYE2:YCR018CA:YDR438W
ARG81:GAL4	1.6749	2	YMR086CA:YMR087W
CAD1:SKO1	1.67532	1	HIS3
RIM101:MSN4	1.67546	10	ATR1:DDR48:HSP26:HSP30:ROX1:RPF1:YDR084C:YJR011C:YMR172CA:YMR173WA
HMS2:IXR1	1.67588	1	RPI1
PDR1:TOS8	1.67688	16	COS1:COS3:HBT1:YDR543C:YDR544C:YHL049C:YLL065W:YLL066C:YLR462W:YML133C:YNL337W:YNL338W:YPR202W:YRF11:YRF16:YRF17
INO2:MOT3	1.67799	2	CPT1:NRK1
RPH1:MAC1	1.68053	2	VIK1:YPL251W
YRR1:RLM1	1.68123	1	YER138C
MET28:AFT2	1.68166	2	RAM1:YDL089W
YAP7:MET31	1.68314	4	CYS3:MET16:NUT2:YDR042C
STP4:FKH1	1.68861	1	YPL141C
GCN4:MOT3	1.68886	7	CPT1:IDH1:ISU1:NCE103:NRK1:RPC17:YPL137C
YAP7:RTG1	1.6897	5	MAK32:YCR018CA:YDR042C:YDR084C:YKL071W
HCM1:SPT23	1.68976	4	ARL3:ASE1:MAK32:YCR018CA
PHO2:RTG1	1.69176	3	IDH1:PRP22:YJR011C
MBP1:STE12	1.69182	35	AGA1:CDC6:CHS1:CLA4:CLN1:CRH1:CWP2:ELO1:FKS3:GIC2:MAK32:MKC7:MNN5:OPY2:PCL1:PUP3:RAD51:SCS2:SCW10:SEN2:SHO1:SPO12:SRL1:SWE1:TAF12:TOS2:YBR007C:YCR018CA:YDR210WD:YHR151C:YKL097C:YMR304CA:YOR246C:YOR248W:YOR342C
SMP1:YFL044C	1.69204	1	YIL002WA
YAP6:ZAP1	1.6929	3	YNL337W:YRF11:YRF16
MGA1:RTG1	1.69305	2	PEX32:POP7
PUT3:MSN2	1.69661	13	AHP1:ATR1:CRR1:CTR1:FRE1:GND2:HSP104:MMT1:MRS4:STB4:TSA1:YHR048W:YLR108C
BAS1:MOT3	1.69664	2	AFG2:HSC82
STE12:FKH2	1.6968	27	AMN1:CDC20:CIK1:CLN1:CUP9:CWP2:EKI1:FRT2:MYO4:PUP3:RAD51:RAX2:SIM1:SPO12:SRL1:SSF2:SUT1:SWI5:UTH1:VTI1:YHR151C:YKL097C:YKR040C:YNL024CA:YOR246C:YOR248W:YOR315W
MBP1:GZF3	1.69728	8	ENA1:ERG26:MAK32:MRPL24:RNH202:RSM10:YCR018CA:YDR084C
NRG1:GZF3	1.69894	7	AAD3:ADH7:ENA1:ERG26:MAK32:RSM10:YCR018CA
RIM101:YJL206C	1.69909	2	FET4:FLO1
NDT80:FKH2	1.69937	2	SPS4:YMR258C
RDS1:YHP1	1.69945	4	BLM3:COY1:LSM1:YKL177W
PDR1:STP2	1.70183	1	FIG1
ADR1:TYE7	1.7035	4	ADH1:ATP7:PUT3:YPS3
ARO80:PLM2	1.70464	6	ARO9:LSM6:PHO85:RGA2:SPL2:YPL030W
MIG1:SIP4	1.70473	1	FBP1
INO2:ASH1	1.70604	2	INO1:YJL152W
MAL33:MSN4	1.70782	5	GDH3:MRPL4:YER189W:YRF12:ZWF1
CYC8:PUT3	1.70794	1	FLO1
DAL81:PUT3	1.70872	9	CTR1:DUR3:PUT1:SIT1:SLS1:TIP41:YEL067C:YPR038W:YPR039W
MBP1:YAP3	1.70979	3	CDC9:MRPL24:VPS55
STP1:BAS1	1.71037	3	HIS7:YDR084C:YIL002WA
YAP6:CAD1	1.71103	7	ATR1:GLY1:IES6:MSR1:PHO81:YEL045C:YLL065W
YAP5:SFP1	1.71122	9	LCB3:RPL13A:RPL16A:RPL28:RPS16B:RPS21B:RPS6A:VPS73:YJL135W
HAC1:YOX1	1.71137	4	ASE1:MAK32:YCR018CA:YFR026C
YER130C:PUT3	1.71262	1	ATX1
DAL81:YJL206C	1.7133	3	GLY1:IES6:YEL045C
PDR1:SKO1	1.71453	2	HSH49:YOR318C
SWI4:RPH1	1.71472	6	BMH1:CUE4:MRPL4:TSL1:YFR017C:YML102CA
MGA1:STB5	1.71526	2	BIR1:YJR088C
SUT1:DAT1	1.71526	1	ERG26
RTG3:GAL4	1.71556	6	AAD3:ADH7:AFG2:MAK31:SRL2:YMR135WA
THI2:AFT2	1.71567	5	PRP3:SNO2:SNO3:SNZ2:SNZ3
PHO4:CBF1	1.71654	17	AFG3:ARO9:CTF19:CWC21:DDP1:GTR1:KRE2:PDR8:PFK27:PHO81:PHO86:SPL2:VTC3:YJL119C:YLR267W:YML122C:YRR1
PDR1:CST6	1.71688	2	KSS1:YER189W
RPN4:STP4	1.71791	1	YNL337W
HCM1:HAC1	1.71978	3	ASE1:MAK32:YCR018CA
SPT23:FKH2	1.71998	3	ASE1:ERG26:YMR258C
PLM2:HMS2	1.72063	5	ERG28:RAD28:YDR031W:YDR286C:YDR287W
MAL33:RCS1	1.72098	8	AAD3:ADH7:AFG2:DLD1:VIK1:YDL173W:YPL251W:ZWF1
RPH1:GAT3	1.72131	2	RPS18A:UTP6
MIG3:SWI4	1.72176	1	YFR017C
PDR3:PIP2	1.72176	1	YOL083W
HAC1:XBP1	1.72205	1	IME1
SWI4:RIM101	1.72232	9	APT2:GAT2:GID8:MGA1:SPO20:UTH1:YDR442W:YIR020C:YKR040C
PLM2:YAP5	1.72655	25	CAD1:CFT1:COS1:COS3:DHH1:PEP5:PHO85:PRO1:RAD4:RPL13A:RPS16B:STE7:VMA13:XDJ1:YAR009C:YCS4:YDR544C:YER139C:YER140W:YLL067C:YLR035CA:YLR089C:YML133C:YPL030W:YRF11
MAL33:MET31	1.7286	1	MRPL4
CAD1:RPH1	1.7289	2	TPS1:TSL1
DAL81:CIN5	1.72918	17	ACO1:AGP1:CTR1:DUR1,2:GAP1:GLN1:GLY1:GNP1:IES6:KCC4:LAP4:SMT3:TYE7:YBR209W:YDR042C:YEL045C:YOR315W
GLN3:GCR1	1.7294	3	GAP1:HIS4:YAR064W
ASH1:AZF1	1.7301	1	SGA1
MIG2:MSN2	1.73088	5	PET100:SHU2:SUC2:TPS1:YLR042C
RPH1:GAL4	1.7311	3	AAD3:ADH7:SRL2
YAP6:SWI4	1.73213	21	APT2:GAC1:GAT2:GID8:MGA1:MRS1:MUC1:PHD1:RHO5:RPS3:SOK2:SPO20:SPS4:UTR2:YDR442W:YIR018CA:YIR020C:YIR020WB:YKL044W:YOR315W:YPR013C
YAP1:MCM1	1.73228	11	ARO8:CCP1:GLY1:GYP8:IES6:SPS4:STE2:YEL045C:YGL117W:YLR302C:YOR315W
YAP1:RTG1	1.73347	4	MAK32:YCR018CA:YDR084C:YLR302C
NRG1:ARR1	1.7335	3	AAD3:PSK1:YAL018C
DAL81:MET31	1.7337	3	OPT1:PEX2:YDR042C
FZF1:SFP1	1.7346	1	YPL034W
HMLALPHA2:SWI5	1.7349	1	RME1
MAC1:ARG80	1.7349	1	CUP9
MSN4:YAP7	1.73644	21	AHP1:ASI1:ATR1:DAP1:ISU2:MRS4:OYE3:RPN4:SNQ2:SOD2:TRX2:YDR010C:YDR042C:YDR084C:YHR048W:YKL071W:YLR108C:YML131W:YMR119WA:YNL134C:YOR227W
CST6:ACE2	1.73701	2	YER189W:YRF12
SKN7:MAC1	1.73735	8	CRR1:CTT1:FRE1:GPH1:HSP42:RPA34:UBX6:YPR159CA
ADR1:ARR1	1.73822	1	YDR210WD
NDT80:YAP7	1.74003	2	YDR084C:YMR258C
MBP1:YAP1	1.74062	18	ENA1:LSM3:MAK32:MRPL24:MRPL4:RPS22B:RSM10:SEN2:TAL1:TSA1:YCR018CA:YDR084C:YER078C:YER078WA:YER079W:YFR017C:YMR144W:YMR258C
MBP1:FZF1	1.74084	3	HLR1:VPS55:YDR526C
RPN4:DAL80	1.7417	6	ARO1:HSH49:YNL337W:YNL338W:YOR318C:YRF16
HCM1:YJL206C	1.74251	6	HXT17:KRE11:YNR071C:YPL276W:YPL277C:YPR013C
THI2:PPR1	1.74307	1	YDR048C
THI2:PUT3	1.74307	4	ARN1:ARN2:SPO20:YHL039W
HCM1:YHP1	1.74354	22	ARN1:BPL1:CRD1:ECM14:PEP5:TKL1:TRS23:VMA13:XDJ1:YAR009C:YBL071C:YDR161W:YDR286C:YDR287W:YHL039W:YLL065W:YLL066C:YLL067C:YLR035CA:YLR089C:YNL338W:YRF16
MBP1:SKN7	1.74417	30	ASF1:CHS1:CWP2:ECM33:EXG1:FKS3:FLO9:GIC2:KRE6:MAK32:MNN1:MOT3:NCA3:OCH1:PDS5:RBA50:RPA34:SCW10:SLM4:SMP2:SNA2:TSA1:YCR018CA:YDR524CB:YKL096CB:YKL097C:YMR304CA:YNR018W:YPR158CC:YPR158CD
GAT1:LEU3	1.74535	4	ERG26:MAK32:YCR018CA:YDR042C
FKH1:MSN1	1.7455	1	GLN1
YDR520C:CIN5	1.74581	1	FUR1
NRG1:SIP4	1.74619	4	MAK32:SFC1:YCR018CA:YMR258C
HCM1:YAP5	1.74642	32	COS3:COS8:DHH1:IME2:PAU4:PAU6:PEP5:RPL24B:STE7:TKL1:VMA13:XDJ1:YAR009C:YBR007C:YCS4:YDR161W:YGR149W:YHL049C:YIL177C:YJL107C:YLL065W:YLL066C:YLL067C:YLR035CA:YLR089C:YLR460C:YML133C:YNL337W:YNL338W:YPL282C:YRF16:YRF17
IXR1:SOK2	1.74652	6	APT2:RHO3:RPI1:YBL029W:YDR442W:YKL044W
SIP4:MSN4	1.74664	4	YER189W:YMR086CA:YMR087W:YRF12
PDR3:HAL9	1.74825	1	YMR258C
YAP6:YAP5	1.74826	25	AAD3:ADH7:BSC3:FLO1:HSH49:IWR1:MSR1:YBL109W:YBL111C:YBL112C:YBL113C:YDL114W:YDR543C:YDR544C:YLL065W:YLR460C:YLR463C:YNL337W:YNL338W:YOR318C:YPR202W:YPR203W:YRF11:YRF15:YRF16
CAD1:STP1	1.74876	3	GLY1:IES6:YEL045C
GZF3:SKO1	1.74886	1	ENA1
STP4:MCM1	1.74886	1	CLN3
GLN3:RGM1	1.75008	1	YER189W
PDC2:TOS4	1.75039	1	YDR042C
RTG1:AZF1	1.75039	1	YDR042C
CST6:GAT3	1.75131	1	YER189W
RDS1:RLM1	1.7533	2	YDR210WD:YER138C
GLN3:SWI4	1.75519	14	BAT2:GNP1:HCM1:LAP4:MRPL4:PTR2:SMT3:SPO20:SRP40:UTH1:YCR064C:YKR040C:YOR315W:YPL056C
YAP6:PUT3	1.756	15	AAD3:ADH7:ATR1:ENB1:ERG1:FET4:FLO1:FRE4:KEL2:MMT1:SPO20:YEL070W:YGR176W:YHR048W:YMR320W
RDS1:RCS1	1.7563	9	AAD3:ADH7:BUD27:COT1:EPL1:PEX32:POP7:YDR084C:ZWF1
CAD1:AFT2	1.75685	6	AFG2:LAP4:MRS4:MSR1:SOD2:VPS55
UGA3:RCS1	1.75691	10	ADH7:EXO84:LIN1:REC104:SIF2:VIK1:YDR084C:YNL337W:YPL251W:ZWF1
ARG81:YAP7	1.75723	4	ARG1:ARG3:OYE2:YDR084C
CYC8:GLN3	1.75746	1	COX6
HMLALPHA2:YAP1	1.76087	1	STE2
MIG1:SKN7	1.76109	7	APT2:HAP4:SOL2:SSK22:YDR442W:YFL054C:YKR075C
PLM2:GAT3	1.7614	7	COS1:COS3:RPL13A:RPS16B:YDR544C:YML133C:YRF11
YAP3:MCM1	1.76149	2	MFA2:YNL146CA
INO2:MIG1	1.76164	2	HXT3:SWI5
SWI5:RLM1	1.76206	6	AMN1:CRH1:HSP150:ICS2:YER138C:YJL160C
PUT3:YAP1	1.76254	10	AHP1:ATR1:MMT1:MRS4:NMA2:SEC9:TSA1:YGR011W:YHR048W:YLR108C
IXR1:SWI6	1.76506	4	SPS4:YBL029CA:YBL029W:YOR315W
GCN4:MET4	1.76522	5	ADE3:MET16:ORC3:SPO75:STR3
MBP1:MET28	1.76616	3	BUB1:MKC7:TAF12
OAF1:THI2	1.76631	2	MAK31:YDR048C
HMS2:RLM1	1.76694	2	YDR210WD:YER138C
MIG1:GZF3	1.76709	2	ENA1:TIF11
OAF1:ARG80	1.76772	1	YDR048C
RPH1:SWI6	1.76792	6	CUE4:MRPL4:TSL1:YFR017C:YML102CA:ZWF1
STB5:PPR1	1.76865	1	DPL1
HAP1:HAL9	1.76947	5	CAJ1:ERG26:RNH203:YNL337W:YRF16
YAP3:RLM1	1.76959	1	MUM2
HCM1:GAT3	1.77099	9	COS3:COS8:YHL049C:YIL177C:YML133C:YNL337W:YNL338W:YRF16:YRF17
HMLALPHA2:HAP4	1.77116	1	HMLALPHA1
DAL81:FKH2	1.77285	13	CPA2:CWP2:FRS2:GAT1:GDH2:GLN1:PTR2:UTH1:YKL097C:YKR040C:YMR1:YOR315W:YPR195C
MBP1:RTG1	1.77295	7	AFG2:MAK32:SPB1:YCR018CA:YDR084C:YDR210WD:YJR011C
TEC1:MET32	1.7732	4	YER189W:YPR158WA:YPR158WB:YRF12
GLN3:WAR1	1.77367	1	DCG1
PHO2:SIP4	1.77383	2	SEN1:YLR428C
PLM2:STB4	1.77462	4	ANT1:HUT1:SCD6:SRP68
STP1:RCS1	1.77501	16	CRM1:HMRA2:LIN1:PEX32:POP7:PRP22:PRP3:RCR2:REC104:STB4:UPF3:VPS63:YDR042C:YDR084C:YGR071C:YPT6
YJL206C:ARG81	1.77556	1	FLO1
TEC1:IXR1	1.77667	2	RPI1:YOR315W
ADR1:YRR1	1.77777	1	RAD17
SKN7:MSN4	1.77784	28	AHP1:ALG7:CTT1:DDR2:DDR48:ERG6:GPX2:HOR7:HSP30:ISU2:LYS20:MMF1:MRS4:OCH1:PCL7:ROX1:SMP2:STB4:TRX2:TSA1:TSA2:YAP1:YCR022C:YGR050C:YLR108C:YMR172CA:YMR173WA:YOR227W
HAC1:HSF1	1.77967	2	KAR2:TAD2
BAS1:RTG1	1.78015	2	AFG2:YDR084C
SUM1:DAT1	1.78062	1	YRF11
YAP5:FHL1	1.78063	31	AAC1:BUD19:CHS7:GFD2:LCB3:NAT3:RPL13A:RPL16A:RPL23B:RPL24B:RPL28:RPL2B:RPL31A:RPL39:RPL42B:RPS16B:RPS18A:RPS21B:RPS22A:RPS23B:RPS6A:RXT3:SLX8:SRO9:TEF2:TKL2:UTP6:VPS73:YFR032C:YGR149W:YJL135W
GAT1:MET4	1.78523	2	CYS3:MSO1
MET32:GLN3	1.78566	6	FZF1:RPA34:SED1:YER189W:YRF12:ZRT1
STE12:HMS2	1.78648	7	STE3:UTH1:YDR210WD:YER138C:YJR054W:YKR040C:YNR054C
RCS1:MAC1	1.78805	12	AFG2:CRR1:CTF19:FET4:FRE1:FTR1:HOS4:LSM5:VIK1:VTC3:YMR320W:YPL251W
YAP6:SIP4	1.78834	4	MAK32:SFC1:YCR018CA:YMR258C
SRD1:MBP1	1.79018	1	YFR017C
YER130C:PDR1	1.79051	1	ATX1
CAT8:ROX1	1.79083	1	ICL1
STB5:SIP4	1.79083	1	DPL1
SWI6:ARG80	1.79104	3	CAR2:PPN1:YHP1
RIM101:ARG81	1.79436	2	FLO1:YDR084C
ADR1:ABF1	1.79738	11	ACS1:ATP7:CHS5:DHH1:NOB1:POT1:PUT3:REG1:SGT1:STE7:YDL159WA
ACE2:SKO1	1.7992	2	YGL006WA:YGL007CA
MAL33:LEU3	1.79985	2	YER189W:YRF12
SKN7:PUT3	1.80103	17	AAC1:AHP1:CRR1:DIA3:FRE1:ISU1:LSB3:MRS4:OLE1:SDS23:SPO20:STB4:TSA1:YCR022C:YFR024C:YLR108C:YPL137C
THI2:CAD1	1.80391	2	ARN1:YHL039W
YAP6:STP1	1.80538	10	ERG26:GLY1:IES6:MAK32:YCR018CA:YDR042C:YDR084C:YEL045C:YJR011C:YOL159C
GLN3:RTG1	1.80611	4	FZF1:MAK32:YCR018CA:YOL159C
MIG3:SWI6	1.80668	1	YFR017C
YAP6:RTG1	1.8075	6	MAK32:YCR018CA:YDR042C:YDR084C:YJR011C:YOL159C
UME6:YML081W	1.80766	1	YLR112W
STP1:NDT80	1.80799	1	YDR084C
PDR1:AFT2	1.80842	12	ADH7:ATX1:FUN26:MSR1:VIK1:VPS55:YDR544C:YER189W:YFR017C:YNL337W:YPL251W:YRF11
REB1:YML081W	1.80962	1	RPA34
HMLALPHA1:SWI6	1.80995	1	HOG1
GLN3:MET4	1.81028	3	RIX7:YLL025W:YLL033W
HAP1:LEU3	1.81117	7	ERG26:PDR16:RNH203:YER189W:YNL337W:YRF12:YRF16
RDS1:DAL80	1.81241	2	ADH7:YDR084C
HMRA1:MSN2	1.81257	1	STE5
PHO2:XBP1	1.81521	5	AAD3:ACA1:IDH1:NCE103:SED1
PHO2:PPR1	1.8162	2	URA1:URA3
ARG80:PIP2	1.81653	1	YDR048C
HCM1:UGA3	1.81653	8	DAL2:MAK32:VMA13:YCR018CA:YLL065W:YNL337W:YNL338W:YRF16
XBP1:SWI6	1.81781	9	CLB2:CLN1:FKS3:GIC2:SCW10:UTH1:YBL029W:YKR040C:YMR304CA
OAF1:MIG1	1.81884	2	GAL1:GAL10
RCS1:DAL80	1.82232	14	ADH7:ARF3:HSH49:LIN1:PRP3:REC104:YDR042C:YDR084C:YDR543C:YMR086CA:YMR087W:YNL337W:YOR093C:YOR318C
SMP1:AFT2	1.82254	11	FUN26:MSR1:VIK1:VPS55:YDR544C:YER189W:YGL261C:YIR020C:YNL337W:YPL251W:YRF11
RTG3:YAP6	1.82256	14	AAD3:ADH7:ENA1:HSP30:MAK32:MRPL24:RSM10:SED1:YCR018CA:YDR042C:YDR084C:YJR011C:YNL134C:YOL159C
RTG3:CST6	1.82265	2	DOS2:YDR067C
STB5:YAP1	1.8269	4	SNQ2:TAL1:YDR010C:YDR084C
RTG3:RIM101	1.83094	6	AAD3:HSP30:MAK32:YCR018CA:YDR084C:YJR011C
YFL044C:MSN4	1.83234	2	YBR012C:YBR013C
UGA3:DAL81	1.83326	4	DAL2:UGA1:UGA2:UGA4
UPC2:GCR1	1.83385	1	PGK1
PDR3:ASH1	1.83519	1	PDR5
UPC2:STP1	1.83587	2	CSN9:YDR179WA
YAP3:YAP5	1.83609	3	MUM2:VPS55:YAR009C
MBP1:RIM101	1.83626	12	ACA1:CIN2:ERG26:FLO9:MAK32:RNH202:RPS0B:YCR018CA:YDR084C:YJR011C:YLR047C:YMR258C
RIM101:YOX1	1.83692	17	ERG26:FLO9:MAK32:PRP21:RCY1:RPS0B:TRF4:UTH1:YCR018CA:YDR084C:YDR278C:YIL171W:YIL172C:YJR011C:YKR040C:YLR047C:YMR258C
CAD1:RTG1	1.83789	2	AFG2:YKL071W
YAP3:DAL80	1.83891	1	MUM2
DAL81:CHA4	1.84204	4	CHA1:NOC4:VAC17:VBA1
TEC1:HAP1	1.8434	8	BSC3:CWP2:YER189W:YKL097C:YLR463C:YNL337W:YRF12:YRF15
UGA3:MAC1	1.84365	2	VIK1:YPL251W
ARO80:GAL4	1.84501	3	HMLALPHA1:HMLALPHA2:YCL065W
FKH1:ASH1	1.84767	5	EXG1:PPN1:SKM1:YHP1:YOL114C
RTG3:SUT1	1.84822	5	ACO1:ECM13:IDH2:SED1:YOL159C
BAS1:ARR1	1.84877	1	AFG2
FZF1:DAL80	1.84945	1	YDL206W
PHD1:MSN1	1.8515	1	MUC1
SUM1:ROX1	1.85263	7	COQ6:GND2:PFS1:SPS4:YDR042C:YOR315W:YRF11
HMS2:SWI6	1.85329	5	BAT2:SPO20:UTH1:YJR054W:YKR040C
RTG3:AFT2	1.85405	12	AAD3:ADH7:AFG2:BPT1:CPA1:ISU1:RRN5:YFR017C:YLR140W:YMR135WA:YOR302W:YPL137C
FKH2:SKO1	1.85448	3	SED1:YGL006WA:YGL007CA
THI2:YHP1	1.85756	5	ARN1:CWC22:YGR277C:YGR283C:YHL039W
HAC1:FKH1	1.8589	2	GAS5:SIL1
MET28:MCM1	1.85925	2	RAM1:YDL089W
DAL81:ARG81	1.86011	3	ARG1:ARG3:DIP5
GCN4:GAT1	1.86017	12	ARG3:CAN1:CPA2:NPR2:OPT1:PEX2:RPS0B:STB4:YDR084C:YHR029C:YLR047C:YMR1
THI2:SKO1	1.86115	1	SPO20
NRG1:ARO80	1.86194	7	SNO3:SNZ3:UTR2:VIK1:YHR138C:YIL002WA:YPL251W
MGA1:MCM1	1.86433	6	MPE1:STB6:TOA2:YBL059W:YGR168C:YOR315W
RTG3:SKO1	1.86828	2	ENA1:SED1
PHO2:INO4	1.86962	3	PHO5:RNH202:YDR278C
RME1:GAL4	1.87044	3	PCL10:SFL1:YOR138C
HMLALPHA2:PDR1	1.87195	1	STE6
HAP1:MSN2	1.87261	17	AHP1:ASK1:CRR1:CTT1:ERG6:FRE1:ROD1:SFK1:SKM1:SOD2:TSA1:UBX6:YAP1:YLR108C:YNL155W:YNL156C:YOL114C
TOS8:ZAP1	1.87292	4	COS1:YNL337W:YRF11:YRF16
RIM101:YAP7	1.87418	9	ATR1:MAK32:RPS0B:TCB2:YCR018CA:YDR084C:YDR278C:YLR047C:YMR258C
UGA3:YHP1	1.87462	5	VMA13:YJR149W:YLL065W:YNL338W:YRF16
NRG1:MAC1	1.87463	8	FET4:FTR1:FUN26:LSM5:VIK1:YLR410WA:YLR410WB:YPL251W
