TF pair	Coregulation coefficient	#genes shared	List of genes shared
OAF1:MBP1	1.03188	5	BUB1:CLB6:YDR048C:YGR109WA:YGR109WB
DAL81:MSN4	1.03192	9	CTR1:GUD1:PRP22:RNY1:YDL237W:YDR042C:YDR098CA:YDR098CB:YMR098C
YAP5:GCR1	1.03192	3	PGI1:RPS14A:TEF2
YAP7:TYE7	1.03243	6	AZR1:HSV2:YDL121C:YDR042C:YFH1:YNL260C
RPN4:ARG81	1.03284	2	BUD27:EPL1
BAS1:GAL4	1.033	2	AFG2:MAK31
LEU3:SOK2	1.03334	7	CAF40:COS1:MAK32:SED1:YCR018CA:YNL337W:YRF16
UPC2:SFP1	1.03476	1	YDR282C
SIP4:MSN2	1.03498	2	YMR086CA:YMR087W
PHO2:ZAP1	1.0353	1	ZRT1
RDS1:GAT3	1.03605	1	YOL166C
RME1:MOT3	1.0368	1	MNT3
HCM1:YAP3	1.03842	2	YAR009C:YNR054C
PHO4:FKH2	1.03859	7	LSM3:MRPL4:PHO5:YER078C:YER078WA:YER079W:YJL051W
GLN3:HSF1	1.03931	7	DAL7:PMA1:RPA34:TIP41:YGL007W:YPR038W:YPR039W
SWI6:AZF1	1.03955	2	YBL029CA:YBL029W
SMP1:CHA4	1.0396	2	YER189W:YIL002WA
HCM1:HMS2	1.0399	4	RPI1:YDR286C:YDR287W:YNR054C
MSN4:CIN5	1.0405	18	ATR1:CCP1:CTR1:DDR2:DDR48:GPT2:HSP26:HSP30:ROX1:TDH3:TRX2:VAN1:YDR042C:YHR048W:YJR011C:YML131W:YMR172CA:YMR173WA
RTG3:FKH2	1.04095	7	BPT1:CPA2:HSP30:SED1:YGR050C:YMC2:YMR1
YAP6:PIP2	1.04182	4	DCI1:RPA34:XBP1:YJL218W
TEC1:AFT2	1.04279	5	AAD3:BPT1:YER189W:YNL337W:YRF12
ASH1:TOS4	1.04305	4	CRH1:PDR5:UTH1:YIL141W
GAT1:STE12	1.04362	8	MAK32:MEI4:MKC7:SSS1:TAF12:YCR018CA:YDR210WD:YOL159C
ABF1:MET31	1.04397	4	ECM17:IML1:RIX7:YLL033W
TOS8:RAP1	1.04407	16	FIR1:PLM2:RPL22B:RPL24B:RPL37B:RPS30A:YDR186C:YDR544C:YEL074W:YEL075C:YFL034W:YGR149W:YNL338W:YPT31:YRF11:YRF16
SUM1:GCR1	1.04416	1	PFS1
PHO4:ARR1	1.04712	1	AFG2
GLN3:MGA1	1.04781	3	RAD28:YDR031W:YOR315W
FZF1:DAL81	1.04876	1	RNY1
UME6:HSF1	1.04891	11	CHO2:HSC82:HSP60:HSP82:ILV2:INO2:LCB5:NAT4:SSA1:UBI4:YLL037W
HAP1:MET4	1.04926	2	RIX7:YLL033W
SFP1:MET4	1.04975	1	RPS19A
IXR1:HAP1	1.05008	2	RIX7:YLL033W
SWI5:SOK2	1.05075	13	COS1:HO:NIS1:PIR1:TPM1:VTH1:YAR009C:YHR138C:YJL225C:YLR035CA:YOR138C:YRF11:YRF17
MET32:YHP1	1.05188	4	MET22:RPS11B:XDJ1:YLR089C
RIM101:STE12	1.05217	8	GAT2:GID8:MAK32:TCB2:UTH1:YCR018CA:YKR040C:YLR413W
MET32:HAP1	1.05235	4	YDR544C:YER189W:YRF11:YRF12
PLM2:HAL9	1.05277	4	COS1:NOT5:YER135C:YOL159C
MBP1:MAC1	1.05303	5	AFG2:EGD2:MDM31:RPA34:RPL7B
MBP1:SOK2	1.05339	22	ACA1:CWP2:ENA1:EXG1:FKS1:FLO9:GIC2:GLO1:HLR1:HO:MAK32:MNN1:MRPL24:NIS1:PPN1:RSM10:TPM1:YCR018CA:YHP1:YKL097C:YML003W:YPL056C
